# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
na3 jia1 	哪家	c=0 d=0.1 t=1365
na3 li3 	哪裏	c=0 d=0.100201 t=1669
na3 xie1 	哪些	c=3 d=1.25815 t=1322
na3 yi1 tian1 	哪一天	c=0 d=0.1 t=342
na3 yi1 tian1 de5 xing1 qi2 er4 	哪一天的星期二	c=1 d=1 t=343
na4 	那	c=2 d=1.60526 t=1420
na4 bu4 zhi1 dao4 	那不知道	c=1 d=1 t=899
na4 duan4 	那段	c=1 d=1 t=1104
na4 ge5 	那個	c=1 d=0.270076 t=1751
na4 ge5 dong1 xi1 	那個東西	c=1 d=1 t=1095
na4 ge5 xiao4 hua4 	那個笑話	c=1 d=1 t=1752
na4 hai2 	那還	c=0 d=0.1 t=1167
na4 hai2 bu4 cuo4 a1 	那還不錯啊	c=1 d=1 t=1168
na4 jie3 gu4 wo3 	那解僱我	c=1 d=1 t=1212
na4 jiu4 	那就	c=3 d=1.87867 t=1418
na4 ke3 yi3 zen3 me5 yang4 	那可以怎麼樣	c=1 d=1 t=1417
na4 me5 	那麼	c=0 d=0.0951229 t=1876
na4 me5 jiu4 	那麼就	c=1 d=1 t=459
na4 nei4 yi1 ne5 	那內衣呢	c=1 d=1 t=484
na4 ni3 	那你	c=2 d=0.24645 t=1220
na4 ni3 hou4 lai2 	那你後來	c=1 d=1 t=627
na4 ni3 jin1 tian1 	那你今天	c=1 d=1 t=1221
na4 ni3 jue2 de5 	那你覺得	c=1 d=1 t=218
na4 ni3 shi4 cong2 shen2 me5 zhuan3 zi1 gong1 	那你是從什麼轉資工	c=1 d=1 t=854
na4 ni3 xian4 zai4 	那你現在	c=1 d=1 t=1169
na4 ni3 yao4 deng3 wo3 yi1 xia4 	那你要等我一下	c=1 d=1 t=974
na4 ni3 yao4 gei3 wo3 kan4 yi1 xia4 ma5 	那你要給我看一下嗎	c=1 d=1 t=637
na4 wo3 dui4 ni3 de5 zhou1 zhuan3 lv4 	那我對你的週轉率	c=1 d=1 t=575
na4 wo3 xian1 gei3 ta1 ni3 de5 	那我先給他你的	c=1 d=1 t=926
na4 wo3 xian4 zai4 chu1 men2 	那我現在出門	c=1 d=1 t=522
na4 wo3 zhen1 de5 ke3 yi3 qu4 	那我真的可以去	c=1 d=1 t=97
na4 xie1 	那些	c=2 d=1.95123 t=811
na4 ye3 	那也	c=0 d=0.1 t=688
na4 ye3 ke3 yi3 ya5 	那也可以呀	c=1 d=1 t=689
na4 zhi4 shao3 	那至少	c=1 d=1 t=1414
nai3 	奶	c=0 d=0.141478 t=1583
nai3 you2 	奶油	c=1 d=1 t=348
nai3 zi5 	奶子	c=0 d=0.1 t=203
nan2 	男	c=1 d=1 t=644
nan2 guo4 	難過	c=2 d=1.07692 t=1773
nan2 sheng1 	男生	c=1 d=1 t=1658
ne5 	呢	c=4 d=2.12373 t=1850
nei4 ku4 	內褲	c=0 d=0.1 t=484
nei4 rong2 	內容	c=0 d=0.146719 t=1826
nei4 rong2 de5 bu4 fen4 	內容的部分	c=1 d=1 t=259
nei4 rong2 shang4 le5 	內容上了	c=1 d=1 t=281
nei4 yi1 	內衣	c=0 d=0.298506 t=485
nei4 yi1 nei4 ku4 	內衣內褲	c=1 d=1 t=485
neng2 	能	c=0 d=0.1 t=603
neng2 bu4 neng2 	能不能	c=4 d=1.96644 t=1345
neng2 li4 	能力	c=0 d=0.198511 t=278
neng2 li4 bu4 zu2 	能力不足	c=1 d=1 t=604
neng2 li4 zhi2 	能力值	c=1 d=1 t=279
neng2 liang4 	能量	c=0 d=0.1 t=1717
neng2 lu4 	能路	c=1 d=1 t=852
ni3 	你	c=6 d=0.976442 t=1876
ni3 ba3 neng2 li4 zhi2 dou1 dian3 zai4 	你把能力值都點在	c=1 d=1 t=276
ni3 bu2 shi4 	你不是	c=2 d=1.99501 t=862
ni3 bu4 	你不	c=0 d=0.1 t=651
ni3 bu4 li3 jie3 	你不理解	c=1 d=1 t=652
ni3 dang1 chu1 	你當初	c=1 d=1 t=821
ni3 dao4 shi2 hou4 ke3 yi3 zhao3 zhao3 kan4 	你到時候可以找找看	c=1 d=1 t=1713
ni3 de5 	你的	c=1 d=0.140823 t=1604
ni3 de5 yi1 qie3 	你的一且	c=1 d=1 t=501
ni3 dou1 	你都	c=1 d=0.281086 t=662
ni3 dou1 bu2 hua4 	你都不畫	c=1 d=1 t=663
ni3 dou1 hen3 hui4 yong4 zheng4 mian4 biao3 shu4 	你都很會用正面表述	c=1 d=1 t=1741
ni3 dou1 mei2 li3 wo3 	你都沒裏我	c=1 d=1 t=470
ni3 dou1 shi4 shen2 me5 shi2 hou4 	你都是什麼時候	c=1 d=1 t=307
ni3 dui4 	你對	c=0 d=0.1 t=1214
ni3 dui4 wei4 lai2 you3 ba3 wo4 hai2 shi4 mei2 ba3 wo4 	你對未來有把握還是沒把握	c=1 d=1 t=1215
ni3 fa1 sheng1 shen2 me5 shi4 le5 	你發生甚麼事了	c=1 d=1 t=466
ni3 han4 ni3 tong2 xue2 de5 shi4 qing2 	你和你同學的事情	c=1 d=1 t=725
ni3 hao3 	你好	c=0 d=0.1 t=215
ni3 hao3 xiang4 qu4 xiang1 gang3 hui2 tai2 wan1 le5 ma5 	你好像去香港回臺灣了嗎	c=1 d=1 t=216
ni3 he2 you1 du4 	擬合優度	c=1 d=1 t=1320
ni3 hui4 	你會	c=0 d=0.1 t=293
ni3 hui4 xiang3 yao4 han4 	你會想要和	c=1 d=1 t=294
ni3 jin1 tian1 shi4 	你今天是	c=1 d=1 t=85
ni3 jin1 tian1 xia4 wu3 tan2 de5 zen3 me5 yang4 	你今天下午談得怎麼樣	c=1 d=1 t=1223
ni3 jue2 de5 	你覺得	c=2 d=0.20022 t=1596
ni3 jue2 de5 hen3 fan2 	你覺得很煩	c=1 d=1 t=1597
ni3 kao3 shi4 kao3 wan2 	你考試考完	c=1 d=1 t=447
ni3 ke3 neng2 xian1 qu4 	你可能先去	c=1 d=1 t=1701
ni3 ke3 yi3 xiang3 yi1 ge5 	你可以想一個	c=1 d=1 t=1594
ni3 ma1 	你媽	c=0 d=0.194176 t=504
ni3 ma1 tong2 yi4 	你媽同意	c=1 d=1 t=505
ni3 ma5 	你嗎	c=1 d=1 t=1238
ni3 men5 	你們	c=0 d=0.1 t=615
ni3 men5 da4 gai4 ji3 dian3 hui4 di3 da2 	你們大概幾點會抵達	c=1 d=1 t=616
ni3 na4 bian1 you3 ji3 jian4 wo3 de5 yi1 fu2 	你那邊有幾件我的一幅	c=1 d=1 t=477
ni3 qi2 shi2 mei2 you3 	你其實沒有	c=1 d=1 t=870
ni3 qu4 de5 	你去的	c=1 d=1 t=396
ni3 qu4 han4 	你去和	c=1 d=1 t=513
ni3 qu4 xiang1 gang3 	你去香港	c=1 d=1 t=215
ni3 ri4 chang2 sheng1 huo2 zhong1 	你日常生活中	c=1 d=1 t=1595
ni3 ru2 guo3 xing3 lai2 le5 	你如果醒來了	c=1 d=1 t=473
ni3 shen2 me5 shi2 hou4 	你什麼時候	c=1 d=1 t=535
ni3 shi4 	你是	c=0 d=0.107136 t=964
ni3 shi4 shuo1 	你是說	c=1 d=1 t=1376
ni3 shi4 zai4 qiang4 wo3 ma5 	你是在嗆我嗎	c=1 d=1 t=437
ni3 shi4 zen3 me5 qu4 de5 a1 	你是怎麼去的阿	c=1 d=1 t=965
ni3 shuo1 	你說	c=2 d=1.10778 t=1787
ni3 ta1 de5 	你他的	c=1 d=1 t=927
ni3 wan3 shang4 qu4 na3 le5 	你晚上去哪了	c=1 d=1 t=23
ni3 xia4 ge5 li3 bai4 	你下個禮拜	c=1 d=1 t=731
ni3 xian4 zai4 dou1 hai2 mei2 you3 jue2 ding4 	你現在都還沒有決定	c=1 d=1 t=1232
ni3 xian4 zai4 ye3 hai2 mei2 you3 xiang3 hao3 yao4 bu2 yao4 	你現在也還沒有想好要不要	c=1 d=1 t=1228
ni3 xian4 zai4 zai4 ma5 	你現在在嗎	c=1 d=1 t=1266
ni3 xiang3 yao4 	你想要	c=2 d=1.43904 t=1801
ni3 xiang3 yao4 de5 hua4 	你想要的話	c=1 d=1 t=1802
ni3 xiang3 yi1 xiang3 	你想一想	c=1 d=1 t=1618
ni3 xu1 yao4 	你需要	c=1 d=0.932394 t=1876
ni3 yao4 	你要	c=1 d=1.06192 t=1235
ni3 yao4 de5 hua4 	你要的話	c=1 d=1 t=967
ni3 you3 	你有	c=1 d=0.8135 t=1248
ni3 you3 han4 xiao3 bo2 	你有和小薄	c=1 d=1 t=734
ni3 you3 kong4 ma5 	你有空嗎	c=1 d=1 t=433
ni3 you3 mei2 you3 shen2 me5 zi4 xue2 	你有沒有甚麼自學	c=1 d=1 t=749
ni3 you3 shen2 me5 	你有什麼	c=1 d=1 t=1776
ni3 you4 	你又	c=1 d=1 t=1570
ni3 zai4 	你在	c=0 d=0.1 t=1262
ni3 zai4 xiang3 xiang3 kan4 	你在想想看	c=1 d=1 t=1263
ni3 zhe4 li3 bai4 yao4 	你這裏拜要	c=1 d=1 t=1233
ni3 zhi1 dao4 zen3 me5 zou3 ma5 	你知道怎麼走嗎	c=1 d=1 t=518
ni3 zuo2 tian1 	你昨天	c=1 d=1 t=1684
nian1 ying1 	蔫英	c=1 d=1 t=62
nian2 	年	c=1 d=1.00015 t=1543
nian2 de5 	年的	c=0 d=0.1 t=554
nian2 de5 zui4 qiang2 huan4 shu4 	年的最強幻術	c=1 d=1 t=555
nin2 	您	c=0 d=0.192312 t=459
nin2 hao3 	您好	c=2 d=1.00067 t=1814
nin2 suo3 	您所	c=0 d=0.1 t=1814
nong4 chu1 	弄出	c=0 d=0.1 t=55
nong4 chu1 lai2 	弄出來	c=0 d=0.1 t=1501
nong4 chu1 lai2 ne5 	弄出來呢	c=1 d=1 t=1502
nong4 chu1 sheng1 yin1 le5 	弄出聲音了	c=1 d=1 t=56
nong4 de5 	弄得	c=0 d=0.1 t=52
nong4 diu1 	弄丟	c=0 d=0.1 t=271
nong4 diu1 zai4 	弄丟在	c=1 d=1 t=272
nong4 hao3 	弄好	c=0 d=0.1 t=1047
nong4 hao3 le5 	弄好了	c=1 d=1 t=1048
nu3 li4 	努力	c=1 d=1.01872 t=1876
nu3 li4 yi1 xia4 	努力一下	c=1 d=1 t=613
nv3 	女	c=0 d=0.108936 t=1339
nv3 sheng1 	女生	c=0 d=0.1 t=935
nv3 sheng1 de5 	女生的	c=1 d=1 t=936
o1 	噢	c=0 d=0.160224 t=1696
o1 o1 	噢噢	c=0 d=0.198511 t=638
o1 o1 o1 	噢噢噢	c=2 d=1.03328 t=1374
o1 o1 o1 o1 	噢噢噢噢	c=1 d=1 t=868
o1 o1 shi4 o1 	噢噢是噢	c=1 d=1 t=636
ou1 yuan2 	歐元	c=2 d=1.99005 t=1873
pa2 chong2 	爬蟲	c=0 d=0.1 t=1184
pai2 	排	c=1 d=1.01327 t=1142
pai2 ming2 	排名	c=0 d=0.1 t=40
pan4 ding4 	判定	c=0 d=0.1 t=397
pao3 	跑	c=2 d=1.17464 t=1392
pei2 ni3 	陪你	c=0 d=0.0937067 t=1876
peng2 you3 	朋友	c=0 d=0.108936 t=1339
pi2 er3 xun4 	皮爾遜	c=1 d=1 t=1311
pi4 ru2 shuo1 	譬如說	c=1 d=1 t=558
pian2 	便	c=0 d=0.1 t=1674
ping2 lin2 	坪林	c=0 d=0.1 t=1676
ping2 lun4 	評論	c=1 d=1 t=629
qi2 	騎	c=0 d=0.1 t=620
qi2 ji1 che1 guo4 qu4 	騎機車過去	c=1 d=0.26696 t=979
qi2 jian1 	期間	c=0 d=0.198511 t=762
qi2 shi2 	其實	c=1 d=0.258455 t=1632
qi2 shi2 ta1 bu2 shi4 zhuan3 xue2 	其實他不是轉學	c=1 d=1 t=881
qi2 shi2 wo3 bu2 hui4 yong4 	其實我不會用	c=1 d=1 t=1633
qi2 shi2 ying1 gai1 cha1 bu4 dao4 suo3 o1 kuai4 	其實應該差佈道所噢塊	c=1 d=1 t=1381
qi2 ta1 	其他	c=0 d=0.1 t=111
qi3 dong4 	啓動	c=0 d=0.1 t=1563
qi3 dong4 qi3 lai2 le5 	啓動起來了	c=1 d=1 t=1564
qi3 lai2 	起來	c=0 d=0.16942 t=1563
qian2 	前	c=1 d=0.128581 t=1802
qian2 	錢	c=0 d=0.10076 t=1089
qian2 ban4 bu4 	前半部	c=0 d=0.1 t=1110
qian2 ei1 	錢欸	c=1 d=1 t=120
qian2 ji3 tian1 	前幾天	c=0 d=0.1 t=102
qian2 ji3 tian1 shou1 dao4 	前幾天收到	c=1 d=1 t=103
qian2 qu4 	前去	c=0 d=0.1 t=363
qian2 wang3 	前往	c=0 d=0.1 t=442
qian4 	欠	c=1 d=1 t=586
qian4 qian2 	欠錢	c=1 d=1 t=585
qian4 zou4 	欠揍	c=0 d=0.1 t=1148
qiang2 	強	c=1 d=1.03117 t=526
qiang2 le5 	強了	c=0 d=0.1 t=234
qiang4 	嗆	c=2 d=1.5766 t=567
qiao1 	敲	c=0 d=0.1 t=1246
qie1 	切	c=1 d=1 t=502
qie1 huan4 	切換	c=0 d=0.1 t=1875
qie3 	且	c=0 d=0.1 t=500
qing1 da4 	清大	c=0 d=0.1 t=889
qing1 da4 zi1 gong1 	清大資工	c=1 d=1 t=890
qing1 dan1 	清單	c=0 d=0.1 t=1131
qing1 jiang4 	青醬	c=1 d=1 t=469
qing3 	請	c=0 d=0.1 t=985
qing3 chi1 fan4 ha1 ha1 	請吃飯哈哈	c=1 d=1 t=986
qing3 jiao4 	請教	c=0 d=0.1 t=1818
qing3 wen4 	請問	c=7 d=3.49672 t=1854
qing3 wen4 jia4 ge2 duo1 shao3 ne5 	請問價格多少呢	c=1 d=1 t=1849
qing3 wen4 you3 mei2 you3 geng4 duo1 wai4 guan1 de5 zhao4 pian4 ne5 	請問有沒有更多外觀的照片呢	c=1 d=1 t=1851
qu1 gong1 suo3 	區公所	c=0 d=0.1 t=1218
qu3 xiao1 	取消	c=1 d=1 t=1875
qu4 	去	c=4 d=0.790714 t=1876
qu4 ba5 	去吧	c=0 d=0.1 t=597
qu4 bu4 qi3 la5 	去不起啦	c=1 d=1 t=1874
qu4 dang1 	去當	c=1 d=1 t=1281
qu4 dang1 	覷當	c=0 d=0.1 t=303
qu4 dang1 bing1 le5 	覷當冰了	c=1 d=1 t=304
qu4 de5 	去的	c=0 d=0.1 t=395
qu4 du2 	去讀	c=1 d=1 t=894
qu4 na2 	去拿	c=0 d=0.1 t=718
qu4 na3 	去哪	c=0 d=0.1 t=22
qu4 na3 li3 	去哪裏	c=0 d=0.1 t=1435
qu4 nian2 ba1 yue4 	去年八月	c=1 d=1 t=240
qu4 pei2 ni3 ma5 	去陪你嗎	c=1 d=0.941765 t=1876
qu4 wen4 	去問	c=0 d=0.1 t=127
qu4 xiang1 gang3 	去香港	c=0 d=0.199501 t=215
qu4 zhao3 	去找	c=0 d=0.1 t=1351
qu4 zhao3 ni3 	去找你	c=1 d=1 t=1352
qu4 zhu4 	去住	c=1 d=1 t=289
quan2 cai3 	全綵	c=1 d=1 t=1574
que4 	卻	c=0 d=0.1 t=1861
que4 ding4 	確定	c=0 d=0.199005 t=843
que4 ren4 	確認	c=1 d=1.00029 t=1863
que4 ren4 guo4 le5 	確認過了	c=1 d=0.349075 t=734
que4 ren4 guo4 le5 ma5 	確認過了嗎	c=1 d=1 t=735
que4 ren4 yi1 xia4 	確認一下	c=1 d=1 t=515
ran2 hou4 	然後	c=6 d=1.76158 t=1807
ran2 hou4 hao3 xiang4 	然後好像	c=1 d=1 t=389
ran2 hou4 jin3 liang4 	然後儘量	c=1 d=1 t=495
ran2 hou4 kan4 dao4 	然後看到	c=1 d=1 t=1568
ran2 hou4 wo3 de5 pai2 ming2 shi4 	然後我的排名是	c=1 d=1 t=41
ran2 hou4 yan2 jiu4 zhi1 lei4 de5 	然後研究之類的	c=1 d=1 t=1808
ran2 hou4 zuo4 cheng2 yi1 ge5 	然後做成一個	c=1 d=1 t=1131
rang4 	讓	c=0 d=0.1 t=696
rang4 ni3 	讓你	c=0 d=0.172615 t=583
rang4 ni3 shang4 che1 de5 di4 fang1 	讓你上車的地方	c=1 d=1 t=520
rang4 ta1 	讓他	c=0 d=0.1 t=917
rang4 ta1 lai2 	讓他來	c=1 d=1 t=918
rang4 tian1 ying1 	讓天英	c=1 d=1 t=697
rang4 wo3 	讓我	c=0 d=0.1 t=1339
rang4 wo3 de5 nv3 peng2 you3 ye3 yi1 qi3 xue2 	讓我的女朋友也一起學	c=1 d=1 t=1340
ren2 	人	c=0 d=0.100691 t=1034
ren2 ge2 	人格	c=0 d=0.1 t=916
ren2 ge2 te4 zhi2 	人格特質	c=1 d=1 t=917
ren2 ma5 	人嗎	c=0 d=0.1 t=382
ren4 le5 	認了	c=0 d=0.1 t=1861
reng2 ran2 	仍然	c=1 d=1.02346 t=1833
reng2 ran2 ke3 yi3 yong4 ma5 	仍然可以用嗎	c=1 d=1 t=1544
ri4 	日	c=1 d=1 t=1009
ri4 chang2 	日常	c=0 d=0.1 t=1594
rou2 	揉	c=0 d=0.141478 t=1583
rou2 ruan3 	柔軟	c=0 d=0.1 t=677
ru2 guo3 	如果	c=2 d=1.18173 t=1610
ru2 guo3 ke3 yi3 	如果可以	c=1 d=1 t=1611
ru2 guo3 ni3 	如果你	c=1 d=1 t=498
ru2 guo3 shi4 	如果是	c=1 d=1 t=590
ru2 guo3 shou3 dong4 jiu4 hen3 zhi4 zhang4 	如果手動就很智障	c=1 d=1 t=1609
ru2 guo3 yao4 wo3 qu4 xin1 dian4 ye3 ke3 yi3 	如果要我去新店也可以	c=1 d=1 t=990
ru2 guo3 you3 	如果有	c=0 d=0.1 t=714
ru2 guo3 you3 de5 hua4 	如果有的話	c=1 d=1 t=715
ru2 he2 	如何	c=1 d=0.985112 t=1876
ru4 men2 	入門	c=1 d=1 t=1811
ru4 wu3 	入伍	c=0 d=0.1 t=544
ru4 wu3 le5 	入伍了	c=1 d=1 t=545
ruan3 ti3 	軟體	c=0 d=0.25002 t=1127
san1 	三	c=2 d=1.41004 t=369
san1 xia2 	三峽	c=1 d=0.299472 t=1362
san1 xiao3 	三小	c=1 d=1.00168 t=1226
sha1 	沙	c=0 d=0.1 t=1673
shang1 	商	c=1 d=0.81177 t=1510
shang1 jia1 	商家	c=1 d=1 t=592
shang1 pin3 	商品	c=0 d=0.1 t=1826
shang1 pin3 nei4 rong2 li3 mian4 	商品內容裏面	c=1 d=1 t=1827
shang4 	上	c=5 d=0.201538 t=1876
shang4 che1 	上車	c=0 d=0.1 t=519
shang4 ci4 	上次	c=0 d=0.1 t=1496
shang4 ke4 	上課	c=1 d=1 t=154
shang4 le5 	上了	c=1 d=1.03198 t=508
shang4 mian4 	上面	c=1 d=1 t=1751
shang4 mian4 you3 da3 	上面有打	c=1 d=1 t=1587
shang4 mian4 you3 mei2 you3 	上面有沒有	c=1 d=1 t=1548
shang4 tai2 	上臺	c=0 d=0.1 t=198
shang4 tai2 jiang3 hua4 	上臺講話	c=1 d=1 t=199
shang4 xie3 	上寫	c=0 d=0.1 t=1646
shao3 	少	c=0 d=0.1 t=253
shen1 qing3 	申請	c=1 d=1 t=799
shen2 me5 	什麼	c=0 d=0.197804 t=1579
shen2 me5 nei4 rong2 	什麼內容	c=1 d=1 t=1580
shen2 me5 shi2 hou4 cha1 	什麼時候差	c=1 d=1 t=86
shen2 me5 shi2 hou4 qu4 zai4 ni3 	什麼時後去載你	c=1 d=1 t=1262
shen2 me5 shi4 	甚麼事	c=0 d=0.100694 t=1459
shen2 me5 yi4 si1 	什麼意思	c=1 d=1 t=1225
shen2 me5 yi4 si1 a1 	什麼意思阿	c=1 d=0.100652 t=1627
shen2 qi2 	神奇	c=0 d=0.1 t=1046
sheng1 huo2 	生活	c=0 d=0.1 t=182
sheng1 huo2 fei4 	生活費	c=0 d=0.1 t=130
sheng1 huo2 fei4 hai2 you3 	生活費還有	c=1 d=1 t=131
sheng1 huo2 zhong1 	生活中	c=0 d=0.1 t=1594
sheng1 ji2 	升級	c=1 d=1 t=1846
sheng1 yin1 	聲音	c=1 d=1.28243 t=69
shi2 	時	c=0 d=0.1 t=1261
shi2 hou4 	時候	c=0 d=0.233512 t=534
shi2 jian1 	時間	c=0 d=0.1 t=31
shi2 ke4 	時刻	c=1 d=1 t=489
shi2 ke4 biao3 	時刻表	c=1 d=1 t=320
shi2 li4 	實力	c=0 d=0.1 t=141
shi2 li4 yang3 cheng2 ban1 	實力養成班	c=1 d=1 t=142
shi2 zheng4 	實證	c=1 d=1 t=1388
shi4 	是	c=11 d=1.7475 t=1876
shi4 bu2 shi4 	是不是	c=3 d=1.04191 t=1800
shi4 bu2 shi4 xiang3 dang1 le5 a1 	是不是想當了阿	c=1 d=1 t=181
shi4 bu4 ke3 neng2 	是不可能	c=0 d=0.1 t=546
shi4 cong2 	是從	c=1 d=1.06864 t=1362
shi4 cong2 san1 xia2 guo4 qu4 	是從三峽過去	c=1 d=1 t=1363
shi4 dou1 	事都	c=0 d=0.1 t=739
shi4 he2 	適合	c=0 d=0.1 t=1136
shi4 jia3 	是假	c=0 d=0.1 t=98
shi4 ke3 yi3 la5 	是可以啦	c=1 d=1 t=1016
shi4 la5 	是啦	c=2 d=1.89583 t=137
shi4 mei2 na4 me5 yan2 zhong4 la5 	是沒那麼嚴重啦	c=1 d=0.955997 t=1876
shi4 mei2 you3 ke4 	是沒有課	c=1 d=1 t=1011
shi4 na2 	是拿	c=1 d=1 t=1389
shi4 na3 yi1 jia1 	是哪一家	c=1 d=1 t=422
shi4 o1 	是噢	c=6 d=2.12478 t=1163
shi4 qing2 	事情	c=0 d=0.0970446 t=1876
shi4 shen2 me5 	是什麼	c=1 d=1 t=1454
shi4 shen2 me5 a1 	是什麼阿	c=1 d=0.238761 t=1213
shi4 shen2 me5 yi4 si1 a1 	是什麼意思阿	c=1 d=1 t=1628
shi4 shi4 kan4 	試試看	c=0 d=0.1 t=689
shi4 shuo1 	是說	c=0 d=0.1 t=1375
shi4 ta1 zi4 ji3 	是他自己	c=1 d=1 t=1722
shi4 wo3 	是我	c=0 d=0.1 t=634
shi4 wo3 ke3 yi3 kan4 de5 ma5 	是我可以看得嗎	c=1 d=1 t=635
shi4 xun4 	視訊	c=0 d=0.1 t=312
shi4 yao4 yue1 	是要約	c=1 d=1 t=732
shi4 yong4 	是用	c=0 d=0.1 t=1628
shi4 you3 	是有	c=1 d=1 t=771
shi4 yue1 	誓約	c=1 d=1 t=1668
shi4 zhen1 	是真	c=0 d=0.1 t=98
shi4 zhen1 ke3 yi3 hai2 shi4 jia3 ke3 yi3 	是真可以還是假可以	c=1 d=1 t=99
shou1 dao4 	收到	c=0 d=0.100045 t=1643
shou1 dao4 xiao1 xi2 	收到消息	c=1 d=1 t=1644
shou1 qian2 	收錢	c=1 d=1 t=574
shou3 	手	c=1 d=1 t=1513
shou3 dong4 	手動	c=0 d=0.1 t=1608
shu1 	書	c=1 d=0.396662 t=1156
shu1 chu1 	輸出	c=1 d=1 t=1064
shu1 chu1 cheng2 	書出城	c=1 d=1 t=1063
shu1 ru4 fa3 	輸入法	c=1 d=0.995012 t=1876
shu4 ju4 	數據	c=2 d=1.14442 t=1390
shu4 lin2 	樹林	c=0 d=0.1 t=1218
shu4 lin2 qu1 gong1 suo3 	樹林區公所	c=1 d=1 t=1219
shu4 zhi2 	數值	c=0 d=0.1 t=780
shu4 zi4 	數字	c=0 d=0.1 t=398
shuang1 shou3 	雙手	c=0 d=0.141478 t=1583
shuang1 shou3 rou2 nai3 	雙手揉奶	c=1 d=1 t=1584
shuang1 shou3 rou2 nai3 nai3 	雙手揉奶奶	c=1 d=1 t=1408
shuang1 zhu3 xiu1 	雙主修	c=1 d=1 t=610
shui4 	睡	c=1 d=1 t=1124
shui4 de5 	睡得	c=0 d=0.1 t=1274
shui4 de5 hao3 ma5 	睡得好嗎	c=1 d=1 t=1275
shui4 guo4 qu4 	睡過去	c=0 d=0.1 t=1306
shui4 jiao4 	睡覺	c=0 d=0.189522 t=1425
shui4 le5 	睡了	c=0 d=0.1 t=1420
shui4 zhao2 	睡着	c=0 d=0.114016 t=1580
shui4 zhao2 le5 ma5 	睡着了嗎	c=1 d=1 t=1188
shun4 	順	c=0 d=0.1 t=1385
shuo1 	說	c=2 d=1.65622 t=1685
shuo1 de5 	說的	c=0 d=0.1 t=1157
si1 	思	c=0 d=0.137908 t=353
si1 kao3 	思考	c=0 d=0.143605 t=282
si3 wo3 le5 	死我了	c=0 d=0.1 t=1241
si4 	四	c=1 d=1 t=340
si4 ge5 yue1 	四個約	c=1 d=1 t=1257
si4 ji4 	四季	c=1 d=1 t=538
sui1 ran2 	雖然	c=1 d=1 t=1004
sun1 	孫	c=2 d=1.0602 t=1716
suo3 	所	c=1 d=1 t=1498
suo3 yi3 	所以	c=12 d=1.05144 t=1835
suo3 yi3 bu4 zhi1 dao4 	所以不知道	c=1 d=1 t=368
suo3 yi3 wo3 gan3 jue2 	所以我感覺	c=1 d=1 t=1650
suo3 yi3 wo3 jiu4 xie3 	所以我就寫	c=1 d=1 t=1067
suo3 yi3 wo3 xiang3 shuo1 wo3 qu4 da1 	所以我想說我去搭	c=1 d=1 t=1693
suo3 yi3 xiang3 yao4 wen4 shuo1 	所以想要問說	c=1 d=1 t=1836
suo3 you3 	所有	c=0 d=0.11108 t=1485
suo3 you3 dong1 xi1 	所有東西	c=1 d=1 t=1046
ta1 	他	c=3 d=0.342708 t=1331
ta1 	她	c=4 d=3.19979 t=1746
ta1 de5 	他的	c=1 d=0.126356 t=1782
ta1 de5 zi1 gong1 tong2 xue2 chuan2 gei3 ta1 de5 	他的資工同學傳給他的	c=1 d=1 t=1783
ta1 dou1 bu4 xiang3 nian4 	他都不想念	c=1 d=1 t=897
ta1 hui4 	他會	c=0 d=0.1 t=135
ta1 hui4 hui2 wo3 	他會回我	c=1 d=1 t=136
ta1 le5 	他了	c=0 d=0.1 t=1763
ta1 man2 tui1 jian4 	他蠻推薦	c=1 d=1 t=395
ta1 men5 	他們	c=3 d=1.08379 t=1646
ta1 shi4 	他是	c=1 d=1 t=882
ta1 shuo1 	他說	c=2 d=0.366249 t=1661
ta1 shuo1 ta1 yi3 jing1 hen3 lei4 le5 	他說她已經很累了	c=1 d=1 t=1662
ta1 xian4 zai4 hao3 xiang4 hui2 tai2 wan1 le5 	他現在好像回臺灣了	c=1 d=1 t=300
ta1 yi1 zhi2 dou1 mei2 you3 	他一直都沒有	c=1 d=1 t=1332
ta1 yin1 wei4 	他因爲	c=1 d=1 t=361
ta1 ying1 gai1 hui4 	他應該會	c=1 d=1 t=948
ta1 zi4 ji3 	他自己	c=0 d=0.1 t=1721
tai2 bei3 	臺北	c=1 d=1 t=1103
tai2 bei3 shi4 li4 	臺北市立	c=0 d=0.1 t=975
tai2 bei3 shi4 li4 tu2 shu1 guan3 	臺北市立圖書館	c=1 d=1 t=976
tai2 tie3 	臺鐵	c=1 d=1 t=319
tai2 wan1 	臺灣	c=0 d=0.165705 t=299
tai4 	太	c=0 d=0.112307 t=841
tai4 duo1 	太多	c=0 d=0.1 t=39
tai4 duo1 ren2 le5 	太多人了	c=1 d=1 t=40
tai4 guo2 	泰國	c=1 d=1 t=424
tai4 guo2 cai4 	太國菜	c=1 d=1 t=423
tai4 jin3 	太緊	c=0 d=0.1 t=1205
tai4 jin3 le5 	太緊了	c=1 d=1 t=1206
tai4 qiang2 	太強	c=0 d=0.1 t=526
tai4 qiang2 le5 	太強了	c=1 d=1 t=527
